Lektion;Hebräisch;Deutsch;Wortart;;
8;משעמם;langweilig;Adjektiv;;
8;קר;kalt;Adjektiv;;
8;קשה;schwierig / hart;Adjektiv;;
8;שָׁקֵט;ruhig / still;Adjektiv;;
8;אלגנטי;elegant;Adjektiv;;
8;באמצע;in der Mitte;Andere;;
8;בעוד...;in... (Zeitangabe: in einem Monat);Andere;;
8;הביתה;nach Hause;Andere;;
8;חו״ל;Ausland;Andere;;
8;כבר;schon / bereits;Andere;;
8;לבריאות!;Gesundheit! ;Andere;;
8;מה פתאום?!;Auf keinen Fall! / Was zur Hölle!;Andere;;
8;פתאום;plötzlich;Andere;;
8;תמיד;immer;Andere;;
8;אחלה;toll / super (Slang);Andere;;
8;בְּכֵּיף;mit Spaß / mit Vergnügen (Slang);Andere;;
8;וואלה;wirklich? / stimmt! (Slang);Andere;;
  יחידה / Einheit 9;;;;;
9;מקבל;bekommen / empfangen;Verb;;
9;משלם;bezahlen;Verb;;
9;שָׂם;legen / stellen;Verb;;
9;גבינה;Käse;Nomen;;
9;גנן;Gärtner;Nomen;;
9;זית;Olive;Nomen;;
9;ירק;Gemüse;Nomen;;
9;מסיבה;Party / Fest;Nomen;;
9;עגבנייה;Tomate;Nomen;;
9;פרח;Blume;Nomen;;
9;פרי;Frucht / Obst;Nomen;;
9;קניון;Einkaufszentrum;Nomen;;
9;שוק;Markt;Nomen;;
9;אופרה;Oper;Nomen;;
9;טוּנָה;Thunfisch;Nomen;;
9;סֶלֶרִי;Sellerie;Nomen;;
9;צֶ'ק;Scheck;Nomen;;
9;בריא;gesund;Adjektiv;;
9;מתוק;süß;Adjektiv;;
9;בהצלחה!;Viel Erfolg! / Viel Glück!;Andere;;
9;בן כמה?;Wie alt...? (männl.);Fragewort;;
9;בת כמה?;Wie alt...? (weibl.);Fragewort;;
9;לא חשוב;macht nichts / unwichtig;Andere;;
9;סוף שבוע;Wochenende;Nomen;;
9;שלוש עשרה;dreizehn;Zahl;;
9;ארבע עשרה;vierzehn;Zahl;;
9;חמש עשרה;fünfzehn;Zahl;;
9;שש עשרה;sechzehn;Zahl;;
9;שבע עשרה;siebzehn;Zahl;;
9;שמונה עשרה;achtzehn;Zahl;;
9;תשע עשרה;neunzehn;Zahl;;
9;עשרים;zwanzig;Zahl;;
  יחידה / Einheit 10;;;;;
10;מבין;verstehen;Verb;;
10;מזמין;einladen / bestellen;Verb;;
10;מסביר;erklären;Verb;;
10;מְסַפֵּר;erzählen;Verb;;
10;מפסיק;aufhören / stoppen;Verb;;
10;מצליח;erfolgreich sein / gelingen;Verb;;
10;מרגיש;fühlen;Verb;;
10;מתחיל;anfangen / beginnen;Verb;;
10;גן;Garten / Park;Nomen;;
10;חודש;Monat;Nomen;;
10;עיתונאי / עיתונאית;Journalist/in;Nomen;;
10;עתיד;Zukunft;Nomen;;
10;פלאפון;Mobiltelefon / Handy;Nomen;;
10;קיץ;Sommer;Nomen;;
10;אינטלקטואל;Intellektueller;Nomen;;
10;פוסט מודרני;postmodern;Adjektiv;;
10;פופולרי;populär / beliebt;Adjektiv;;
10;אחרון;letzt / zuletzt;Adjektiv;;
10;חשוב;wichtig;Adjektiv;;
10;יווני;griechisch;Adjektiv;;
10;נהדר;wunderbar / großartig;Adjektiv;;
10;אחרי;nach / danach;Andere;;
10;כך;so / auf diese Weise;Andere;;
10;מה קרה?;Was ist passiert?;Andere;;
10;ככה ככה;so lala (Slang);Andere;;
  יחידה / Einheit 11;;;;;
11;מפקסס;faxen;Verb;;
11;עובר;vorbeigehen / überqueren;Verb;;
11;שולח;schicken / senden;Verb;;
11;אגורה;Agora (1/100 Schekel);Nomen;;
11;אלוהים;Gott;Nomen;;
11;בול;Briefmarke;Nomen;;
11;בית חולים;Krankenhaus;Nomen;;
11;בקבוק;Flasche;Nomen;;
11;דואר;Post / Briefpost;Nomen;;
11;דואר אוויר;Luftpost;Nomen;;
11;חבילה;Paket;Nomen;;
11;יום הולדת;Geburtstag;Nomen;;
11;כלב / כלבה;Hund / Hündin;Nomen;;
11;מברק;Telegramm;Nomen;;
11;מזג אוויר;Wetter;Nomen;;
11;מעטפה;Umschlag / Briefumschlag;Nomen;;
11;משרד;Büro;Nomen;;
11;פקיד / פקידה;Bürokraft / Sachbearbeiter/in;Nomen;;
11;שיחה;Gespräch;Nomen;;
11;שיעורי בית;Hausaufgaben;Nomen;;
11;תיבת דואר;Briefkasten;Nomen;;
11;תפוח עץ;Apfel;Nomen;;
11;תשובה;Antwort;Nomen;;
11;גז;Gas;Nomen;;
